0: linda davis                   reba mcentire
1: 581 ( second edition )        68
2: the saint lawrence river      saint lawrence river
3: july 5, 2018                  october 13, 2018
4: 31                            30
5: francia raisa                 solange knowles
7: 2002                          1999
9: motown                        stax label
12: october 1, 1926               1913
15: rib cage                      the nose
16: ear                           the nose
17: nose                          the nose
18: bronchial tubes               the nose
19: many other body components    the nose
20: intervertebral discs          the nose
21: meat loaf                     jim steinman
22: in the epididymis             epididymis
23: september 1977                1977
24: 1966                          1970s
25: flipper anderson              peyton manning
26: may 8 2018                    june 20, 2017
28: 3 october 1942                1944
29: a minimum of five             18
31: 16 february 2018              7 january 2018
32: law officers of the crown     the solicitor general
33: urchins                       skies
36: ch\xc3\xa2teau d'amboise      the palace of fontainebleau
37: the loc - dieu abbey          the palace of fontainebleau
38: ch\xc3\xa2teau de chambord    the palace of fontainebleau
39: the ingres museum             the palace of fontainebleau
40: andy griffith                 a recently married male
43: mcdonald's                    walmart
44: cyndi lauper                  tom kelly
45: ymir fritz                    mikasa
48: drake                         caleb
49: cece                          caleb
50: blair                         jenna
52: ari lehman                    warrington gillette
53: pittsburgh steelers           the steelers
54: american singer joey scarbury joey scarbury
56: england                       australia
59: nine                          179
60: mac hollowell                 auston matthews
61: pontus holmberg               auston matthews
62: sean durzi                    auston matthews
63: semyon der - arguchintsev     auston matthews
64: rasmus sandin                 auston matthews
65: filip kral                    auston matthews
66: zachary bouthillier           auston matthews
67: riley stotts                  auston matthews
68: semyon kizimov                auston matthews
69: neil gorsuch                  samuel alito
72: 2001                          1983 -- 84
73: jane taylor                   fred hertz
78: spinner                       command - line
79: drop - down list              command - line
80: slider                        command - line
81: button                        command - line
82: list box                      command - line
83: chelsea field                 jacqueline obradors
84: official remix                rick ross
85: magnesium                     phosphorus
86: william stromberg             thomas rowe price
89: josephine tewson              thora hird
90: jorma taccone                 phillip paley
92: democrat                      republican
94: thomas joseph thibodeau jr.   tom thibodeau
95: dylan and cole sprouse        dylan sprouse
97: epistle to the galatians      chapter 5
101: sulkin                        gregg sulkin
102: in leaves                     in the leaf
103: jakob fugger                  jeff bezos
104: milo\xc5\xa1 forman           milos forman
105: steven robert weber           robert weber
106: american southern rock group rehablady antebellum
107: minnesota vikings             dallas cowboys
109: 332                           713
110: john shanks                   keith urban
112: 2018                          1963
113: james dornan                  jamie dornan
114: late 14th - century           henry savile
117: 2003                          1999
118: rest cure                     the yellow wallpaper
120: in the early 2nd century      the early 2nd century
121: 5,100                         more than 5,100
122: october 2, 2017               october 3, 2017
123: tamaki                        hikaru
124: june 5, 2017                  october 30, 2018
125: 6                             13
129: 2017 -- 18                    2016 -- 17
130: westminster central hall      times square
131: 1929                          employers in lumber and mining camps
133: a right triangle              parallelogram
134: count karl robert nesselrode  alexander i
135: animal products               heme iron
136: melora hardin                 miley cyrus
137: the evaporation of seawater   seawater
139: washington                    massachusetts
140: yuyutsu                       vikarna
141: river lea                     thames water ring main
142: river thames                  thames water ring main
143: us $1.843 billion             us $1.1 billion
144: august 14, 2017               august 17
145: australia                     donald bradman
146: kayleigh harris               kathreen khavari
147: gulf breeze                   milton
150: tyler marcel williams         caleb mclaughlin
152: (                             12
155: 1689                          calvinist doctrine
156: 2004                          1994
157: 1660s to 1730s                mid-17th century
158: 12 to 14 days                 16 days
159: the south lawn                south lawn
160: mariana trench                challenger deep
161: the northern army             the humans
162: 27 / 05 / 2018                2018
164: october 27, 2018              october 2, 2011
165: strasbourg                    general strasburg
166: an upper semi-circular arch   horseshoe
167: a lower horseshoe arch        horseshoe
168: ray winstone                  sam claflin
169: nick frost                    sam claflin
170: bob hoskins                   sam claflin
171: brian gleeson                 sam claflin
172: eddie marsan                  sam claflin
173: johnny harris                 sam claflin
174: toby jones                    sam claflin
175: ian mcshane                   sam claflin
176: 1205 -- 1279                  1279
177: 24 february 2018              3 march 2018
179: 2003                          1966
180: no regulation                 reasonable volume
181: richmond                      melbourne cricket ground
182: hawthorn                      melbourne cricket ground
183: essendon                      melbourne cricket ground
184: collingwood                   melbourne cricket ground
185: north melbourne               melbourne cricket ground
186: anthony kennedy               ruth bader ginsburg
188: 2018                          july 1, 2018
189: karyn parsons -- rockwell     karyn parsons
190: freak the freak out           beggin'on your knees
193: monster's legacy              spring awakening
194: and marine corps              about two years
195: 21 months for army            about two years
196: 23 months for navy            about two years
197: 24 months for air force       about two years
198: 1908                          january 11, 1908
201: 1990                          1934
204: on june 29, 2018              2018
205: april 30, 1916                1918
206: electroencephalography ( eeg )electroencephalography
207: schwann cells                 endoneurium
208: american                      american league
209: joseph peter spano            kinnaird taptiklis
211: prince henry                  charles, prince of wales
212: prince george                 charles, prince of wales
213: heat energy                   electromagnetic radiation
214: mechanical waves              electromagnetic radiation
215: sound                         electromagnetic radiation
216: jimmy matthews                chaminda vaas
217: carbon monoxide               methane
218: traces of methane             methane
219: hydrogen                      methane
221: confederate states of america union infantry
222: united states                 union infantry
223: june 23, 2018                 2019
224: venkaiah naidu )              vice president of india
227: six volumes                   six
228: ross geller                   ross
229: ed sheeran                    randy newman
230: six                           20
232: 31                            20
235: the six grandfathers          cougar mountain
236: 1989                          1993
237: kathy steinberg               hilary momberger
239: wicked witch of the west      wicked witch
241: the new england patriots      new england patriots
244: bridget driscoll              mary ward
245: jeddah                        king fahd international airport
246: keyword                       goto
247: fourth dynasty egyptian pharaoh khufuegyptian pharaoh khufu
248: 2005                          2004
249: hull city                     chelsea
250: sunderland                    chelsea
251: middlesbrough                 chelsea
253: march 19, 1918                1918
254: noah jupe                     emily blunt
255: john krasinski                emily blunt
256: millicent simmonds            emily blunt
259: solomon burke                 dan penn
260: alexander nor\xc3\xa9n        cameron menzies
261: european theatre              the western front
263: tevilah                       john the baptist
264: louis riel                    metis followers
265: 1831 -- 1850                  1836
268: formula rossa                 great adventure
269: abelmoschus esculentus        ney poovan banana
270: samarra                       baghdad
271: raqqa                         baghdad
275: late carboniferous period     about 320 million years ago
276: gregory jack biffle           jeff gordon - bowman
277: contemporary dancer lex ishimotonick lazzarini
280: the irish sea                 english channel
281: one                           10 million
283: italy                         brazil
284: igneous                       sandstones
285: 2006                          2013
286: pulsars                       neutron stars
288: the charlotte hornets         houston rockets
291: frankie sullivan              jim peterik
292: new                           lord
293: extraordinary                 lord
294: unprecedented                 lord
297: georgia bulldogs              oklahoma sooners
300: venom                         `` get back ''
301: screwed                       `` get back ''
302: jimmy durante                 bing crosby
307: the eighth season             eighth
309: 1954                          1958
312: the virginia company of londonjames fort
313: mariah carey                  jesse nager
314: 1842                          1838
315: 1956                          april 15, 1947
317: the probation officer         probation officer
318: 32 teams                      32
320: january 8, 2018               april 2, 2018
321: europe / london               greenwich mean time
324: the journal des d\xc3\xa9bats petion
325: santa monica                  ken marino
326: eris baker                    milana vayntrub
327: november 25, 2017             october 21, 2017
328: january 12, 2018              2018
331: supreme court                 congress
334: hans zimmer                   benjamin wallfisch
336: cape gracias a dios           the gulf of mexico
337: oregon ducks                  ucla
338: 4,000                         approximately 55,000
339: minnesota vikings             philadelphia eagles
341: january 7, 2018               august 31, 2018
342: a wreath of ivy               thespis
343: season seven                  fifth season
344: shape of you                  one dance
346: 1995                          2017
349: anthony hope                  tobias ragg
350: william thomas sadler         william sadler
351: colonel john ewerekumoh yeri  godwin obasekis
352: 1754                          july 10, 1754
353: 1973                          4 march 1973
354: johnt\xc3\xa1 austin          teddy bishop
355: bryan - michael cox           teddy bishop
357: toni braxton                  teddy bishop
358: brendon mccullum              martin guptill
359: joseph kahn                   jack antonoff
360: collingwood football club     collingwood
361: gillian jacobs                molly gordon
363: intermediate courts           supreme court
364: superior courts               supreme court
365: apex court                    supreme court
366: inferior courts               supreme court
367: quasi-judicial tribunals      supreme court
368: rhomboid major                subscapularis muscle
369: levator scapulae              subscapularis muscle
370: rhomboid minor                subscapularis muscle
371: serratus anterior             subscapularis muscle
372: roman peace                   relative peace
373: muhammad ali jinnah           ambica charan majumdar
374: bartlesville and pawhuska, oklahomabartlesville
375: los angeles, california       bartlesville
378: gwent                         flintshire
379: powys                         flintshire
380: clwyd                         flintshire
381: mid glamorgan                 flintshire
382: west glamorgan                flintshire
383: south glamorgan               flintshire
384: gwynedd                       flintshire
385: dyfed                         flintshire
386: papillae                      the cheek
388: july 1, 2005                  28 june 2005
389: 2017 - 11 - 05                17 august 2001
390: 3                             2
394: first published in 1978       1978
398: mayuresh kshetramade          gagan malik
399: swapnil joshi                 gagan malik
400: katy perry                    zach kelly
401: andhra                        uttar pradesh
402: 16 november 2003              october 2004
403: within the cytoplasm          cytosol
404: general electric              alaska air group
405: william a.v. cecil            donald trump
406: june 1944                     1944
408: derek hough                   bindi irwin
409: sometime in 2018              december 13
410: carl august                   alexander graham bell
411: hugo m\xc3\xbcnsterberg       hugo munsterberg
412: victor rivers                 miklo
413: thomas jefferson              john adams
414: finport                       utopia island
415: alamosa                       baker
416: piano man                     louis mckay
417: 1040 -- 44                    between 300 and 200 bc
418: 31 october ad 475             ad 476
421: tyler hubbard                 brian kelley
422: nicolle galyon                brian kelley
424: jordan schmidt                brian kelley
425: kristin kreuk                 emma watson
426: peter cetera                  lascelles stephens
427: `` uma thurman ''             uma thurman
428: lokoja in nigeria             lokoja
430: 1982                          november 13, 1982
431: karate                        golf
432: madison cycling               golf
433: skateboarding                 golf
434: surfing                       golf
435: 3x3 basketball                golf
436: sport climbing                golf
437: freestyle bmx                 golf
438: the lab                       les twins
439: charity & andres              les twins
440: s - rank                      les twins
441: michael dameski               les twins
445: randy shannon                 dan mullen
446: akshay kumar                  priyanka chopra
449: the east india company        east india company
450: 13                            22
452: walk the moon                 k. flay
454: welshly arms                  k. flay
455: misterwives                   k. flay
456: joywave                       k. flay
458: nonpartisan blanket primary   nonpartisan
459: spin - off sequel             debbie is turning 40
460: constantine                   charles martel
461: tony jay                      maureen o'hara
462: government of british india   british goods
464: in west central colorado      west central colorado
467: italy                         germany
468: japan                         germany
470: the medulla oblongata         medulla oblongata
471: saleisha stowers              yoanna house
473: nathan hale                   jesus
474: jesse watters                 tom cullen
475: kimberly guilfoyle            tom cullen
476: dana perino                   tom cullen
477: juan williams                 tom cullen
478: greg gutfeld                  tom cullen
479: larger states                 large states
480: q4 2018                       august 24, 2015
481: durand                        mcfarland
482: delavan                       mcfarland
483: delafield                     mcfarland
484: dodgeville                    mcfarland
485: de pere                       mcfarland
486: darlington                    mcfarland
490: political appointee           vice president
491: foreign service officer       vice president
492: 2012                          2017
494: 10                            13
496: tampa bay buccaneers          san diego padres
497: sowerberry, the undertaker    the undertaker
500: dallas carter high school     permian
